name,version,kind,type,main,module,hasExports,path
i18next,23.12.2,DUAL,,./dist/cjs/i18next.js,./dist/esm/i18next.js,true,C:\Dev\Projects\SayMyName\Frontend\node_modules\i18next
i18next-browser-languagedetector,8.0.0,DUAL,,./dist/cjs/i18nextBrowserLanguageDetector.js,./dist/esm/i18nextBrowserLanguageDetector.js,true,C:\Dev\Projects\SayMyName\Frontend\node_modules\i18next-browser-languagedetector
js-yaml,4.1.0,DUAL,,,./dist/js-yaml.mjs,true,C:\Dev\Projects\SayMyName\Frontend\node_modules\js-yaml
json5,2.2.3,DUAL,,lib/index.js,dist/index.mjs,false,C:\Dev\Projects\SayMyName\Frontend\node_modules\json5
memoize-one,5.2.1,DUAL,,dist/memoize-one.cjs.js,dist/memoize-one.esm.js,false,C:\Dev\Projects\SayMyName\Frontend\node_modules\memoize-one
node-fetch,2.7.0,DUAL,,lib/index.js,lib/index.mjs,false,C:\Dev\Projects\SayMyName\Frontend\node_modules\node-fetch
postcss,8.5.6,DUAL,,./lib/postcss.js,,true,C:\Dev\Projects\SayMyName\Frontend\node_modules\postcss
punycode,2.3.1,DUAL,,punycode.js,punycode.es6.js,false,C:\Dev\Projects\SayMyName\Frontend\node_modules\punycode
raf-schd,4.0.3,DUAL,,dist/raf-schd.cjs.js,dist/raf-schd.esm.js,false,C:\Dev\Projects\SayMyName\Frontend\node_modules\raf-schd
react-beautiful-dnd,13.1.1,DUAL,,dist/react-beautiful-dnd.cjs.js,dist/react-beautiful-dnd.esm.js,false,C:\Dev\Projects\SayMyName\Frontend\node_modules\react-beautiful-dnd
react-dropzone,14.3.8,DUAL,,dist/index.js,dist/es/index.js,true,C:\Dev\Projects\SayMyName\Frontend\node_modules\react-dropzone
react-easy-crop,5.5.0,DUAL,,./index.js,./index.module.js,true,C:\Dev\Projects\SayMyName\Frontend\node_modules\react-easy-crop
react-i18next,15.0.0,DUAL,,dist/commonjs/index.js,dist/es/index.js,true,C:\Dev\Projects\SayMyName\Frontend\node_modules\react-i18next
react-redux,7.2.9,DUAL,,./lib/index.js,es/index.js,false,C:\Dev\Projects\SayMyName\Frontend\node_modules\react-beautiful-dnd\node_modules\react-redux
react-redux,9.2.0,DUAL,,dist/cjs/index.js,dist/react-redux.legacy-esm.js,true,C:\Dev\Projects\SayMyName\Frontend\node_modules\react-redux
react-router,6.24.1,DUAL,,./dist/main.js,./dist/index.js,false,C:\Dev\Projects\SayMyName\Frontend\node_modules\react-router
react-router-dom,6.24.1,DUAL,,./dist/main.js,./dist/index.js,false,C:\Dev\Projects\SayMyName\Frontend\node_modules\react-router-dom
react-toastify,10.0.5,DUAL,,dist/react-toastify.js,dist/react-toastify.esm.mjs,true,C:\Dev\Projects\SayMyName\Frontend\node_modules\react-toastify
react-transition-group,4.4.5,DUAL,,cjs/index.js,esm/index.js,false,C:\Dev\Projects\SayMyName\Frontend\node_modules\react-transition-group
redux,4.2.1,DUAL,,lib/redux.js,es/redux.js,false,C:\Dev\Projects\SayMyName\Frontend\node_modules\@types\react-redux\node_modules\redux
